x,y,diff_aff
22.5,-146.25,0.0207034183741579
23.25,-146.25,0.031117305475910628
24.0,-146.25,0.03163035535574776
24.75,-146.25,-0.02725737218476576
25.5,-146.25,-0.019396594764415243
26.25,-146.25,-0.008378986827032309
27.0,-146.25,-0.00978735904619299
27.75,-146.25,0.005843564254434552
28.5,-146.25,0.035912719785244684
29.25,-146.25,0.018710459108356448
30.0,-146.25,0.05780724478577137
30.75,-146.25,-0.0565206249882686
31.5,-146.25,0.005797267929794403
32.25,-146.25,-0.06108029287719541
33.0,-146.25,-0.01460205882363752
-36.0,-145.5,-0.051333469874522586
-35.25,-145.5,-0.011509733417448209
-34.5,-145.5,-0.04331019140663028
-33.75,-145.5,-0.015010517561173553
-33.0,-145.5,-0.052487163020533245
-32.25,-145.5,0.0010762504146077934
-31.5,-145.5,-0.04016607642254555
-30.75,-145.5,-0.11409892108794084
-30.0,-145.5,-0.048096563017143934
-29.25,-145.5,-0.0755811432839113
-28.5,-145.5,-0.047806031161754525
-27.75,-145.5,0.01440772455426953
-27.0,-145.5,0.025211951435543112
-26.25,-145.5,0.007511599873424313
-25.5,-145.5,0.011927852760648783
-24.75,-145.5,-0.0017028313337168477
-24.0,-145.5,-0.011638538759578765
-23.25,-145.5,-0.009918312691889808
-22.5,-145.5,-0.018080837496210922
-21.75,-145.5,-0.02459539555375656
-21.0,-145.5,0.024518371944865835
-20.25,-145.5,0.02498112281687548
-19.5,-145.5,0.017223096268534466
-18.75,-145.5,0.010714471704539763
-18.0,-145.5,0.01086536872802113
-17.25,-145.5,0.0052859069421098415
-16.5,-145.5,0.005316086346806248
-15.75,-145.5,0.0004960863468064236
-15.0,-145.5,-0.003644093057890041
-14.25,-145.5,-0.0036943920657170892
-13.5,-145.5,-0.007274750875109648
-12.75,-145.5,-0.007345169486067782
-12.0,-145.5,-0.01044564789859126
-11.25,-145.5,-0.01313624591424567
-10.5,-145.5,0.02407327567323092
-9.75,-145.5,0.021272737459142155
-9.0,-145.5,0.02120231884818402
-8.25,-145.5,0.018831840435660663
-7.5,-145.5,0.018751362023137208
-6.75,-145.5,0.016790943412179127
-6.0,-145.5,0.015180524801221118
-5.25,-145.5,0.015120165991828749
-4.5,-145.5,0.01387992678556671
-3.75,-145.5,0.01382962777773944
-3.0,-145.5,0.012909388571477942
-2.25,-145.5,0.012309209166781576
-1.5,-145.5,0.012289089563650712
-0.75,-145.5,0.012009089563650654
0.0,-145.5,0.012009089563650654
0.75,-145.5,0.01201908956365072
1.5,-145.5,0.012329089563650752
2.25,-145.5,0.012349209166781616
3.0,-145.5,0.012989388571478022
3.75,-145.5,0.01394962777773956
4.5,-145.5,0.01399992678556683
5.25,-145.5,0.015270165991828621
6.0,-145.5,0.01533052480122099
6.75,-145.5,0.01698094341217926
7.5,-145.5,0.018991362023137004
8.25,-145.5,0.01907184043566046
9.0,-145.5,0.02148231884818408
9.75,-145.5,0.021552737459142213
10.5,-145.5,0.024403275673230862
11.25,-145.5,-0.012866245914245678
12.0,-145.5,-0.010125647898591383
12.75,-145.5,-0.0069751694860678
13.5,-145.5,-0.0069047508751096665
14.25,-145.5,-0.0032543920657170933
15.0,-145.5,-0.003204093057890045
15.75,-145.5,0.0010160863468062775
16.5,-145.5,0.0059260863468062475
17.25,-145.5,0.005895906942109841
18.0,-145.5,0.01159536872802125
18.75,-145.5,0.011444471704539882
19.5,-145.5,0.018103096268534458
20.25,-145.5,0.02606112281687545
21.0,-145.5,0.025598371944865805
21.75,-145.5,-0.023765395553756674
22.5,-145.5,-0.017020837496211083
23.25,-145.5,-0.008518312691889962
24.0,-145.5,-0.010238538759578919
24.75,-145.5,0.00023716866628298305
25.5,-145.5,0.014757852760648671
26.25,-145.5,0.010341599873424201
27.0,-145.5,0.02961195143554307
27.75,-145.5,0.01880772455426949
28.5,-145.5,-0.039576031161754566
29.25,-145.5,-0.06735114328391134
30.0,-145.5,-0.021896563017143933
30.75,-145.5,-0.08789892108794084
31.5,-145.5,-0.03367607642254544
32.25,-145.5,0.00748625041460782
33.0,-145.5,-0.04607716302053322
33.75,-145.5,-0.008901517561173522
34.5,-145.5,-0.03734419140663037
35.25,-145.5,-0.005812733417448257
36.0,-145.5,-0.045636469874522634
-39.0,-144.75,-0.01488395894788308
-38.25,-144.75,-0.03946459656621637
-37.5,-144.75,-0.005603304496973327
-36.75,-144.75,-0.04614661030778722
-36.0,-144.75,-0.009240216304688187
-35.25,-144.75,-0.03848409521460783
-34.5,-144.75,0.0026313197634679764
-33.75,-144.75,-0.029865826532846418
-33.0,-144.75,-0.07012903702583084
-32.25,-144.75,-0.02095471501368773
-31.5,-144.75,-0.05913811238771949
-30.75,-144.75,-0.0061430777410254045
-30.0,-144.75,-0.0408600034074178
-29.25,-144.75,0.0008278142797311094
-28.5,-144.75,-0.028449611541006226
